image_url,bytes,pages,occurrences,classes,example_page
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29660914a0a459fd74b696_webflow%252Fthumb-images%252F2026%252F06%252Fgo-jo-youtube-kaos-og-charme-pa-lille-vega-thumb-2400w-7oeq50.webp,1193994,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/go-jo-youtube-kaos-og-charme-pa-lille-vega
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a784b0c211492086dbf5fd0_webflow%252Fthumb-images%252F2026%252F08%252Fnia-archives-o-days-2026-anmeldelse-thumb-2400w-111qia.webp,559692,16,18,desktop_thumbnails;paralax-image-2;hero__bg-img,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a3a7beecebe300cc6d21fc7_webflow%252Fthumb-images%252F2026%252F06%252Fthe-minds-of-99-pa-heartland-2026-thumb-2400w-1ak40h.webp,610558,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/the-minds-of-99-pa-heartland-2026
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29677da03da981f8bb5617_webflow%252Fthumb-images%252F2026%252F06%252Fteufel-bash-rat-rabende-og-rovcharmerende-i-fuglekvarteret-thumb-2400w-18jcpf.webp,1401600,6,6,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/teufel-bash-rat-rabende-og-rovcharmerende-i-fuglekvarteret
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2965dd8e05ef0a1e6412ac_webflow%252Fthumb-images%252F2026%252F06%252Fghost-of-yotei-playstation-5-thumb-2400w-1nc5sn.webp,1039382,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/ghost-of-yotei-playstation-5
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4eaa587f730700c4fe38a5_webflow%252Fthumb-images%252F2026%252F07%252Fdavid-byrne-thumb-2400w-yu9ro4.webp,592594,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/david-byrne
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4eae1d77e4862962a1ac70_webflow%252Fthumb-images%252F2026%252F07%252Fmalk-de-koijn-endnu-en-genopstandelse-pa-orange-thumb-2400w-mrwi0f.webp,586208,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/malk-de-koijn---endnu-en-genopstandelse-pa-orange
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2968029eb5e6b95bd289f7_webflow%252Fthumb-images%252F2026%252F06%252Ffirst-days-pa-roskilde-de-bedste-koncerter-du-kan-hore-for-det-hele-eksploderer-thumb-2400w-su6j47.webp,911478,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/first-days-pa-roskilde-de-bedste-koncerter-du-kan-hore-for-det-hele-eksploderer
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a296790a352d5f40133fc36_webflow%252Fthumb-images%252F2026%252F06%252Falt-du-skal-vide-for-du-mister-stemmen-pa-refshaleoen-i-august-thumb-2400w-6ztko2.webp,785640,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/alt-du-skal-vide-for-du-mister-stemmen-pa-refshaleoen-i-august
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a296810ebaf84ec0188bf60_webflow%252Fthumb-images%252F2026%252F06%252Ftorsdag-pa-roskilde-festival-2025-seks-navne-der-redder-en-lidt-tynd-dag-thumb-2400w-n9kqpr.webp,865022,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/torsdag-pa-roskilde-festival-2025-seks-navne-der-redder-en-lidt-tynd-dag
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4f655931aa46c031410e13_webflow%252Fthumb-images%252F2026%252F07%252Fmille-pa-roskilde-festival-2026-thumb-2400w-7adek9.webp,536016,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/mille-pa-roskilde-festival-2026
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2966696ffddda21105a8e0_webflow%252Fthumb-images%252F2026%252F06%252Fnine-inch-nails-leverede-intens-og-uforglemmelig-koncertoplevelse-pa-roskilde-festival-202-thumb-2400w-3v92nv.webp,827126,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/nine-inch-nails-leverede-intens-og-uforglemmelig-koncertoplevelse-pa-roskilde-festival-2025
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4f9f002dc40bbe9f12e8da_webflow%252Fthumb-images%252F2026%252F07%252Fclipse-pa-roskilde-festival-2026-thumb-2400w-bstqmd.webp,527106,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/clipse-pa-roskilde-festival-2026
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2966cca352d5f401333055_webflow%252Fthumb-images%252F2026%252F06%252Fgloryhammer-copenhell-riddermetal-med-plastiksvaerd-og-borneshow-energi-thumb-2400w-16plq0.webp,792610,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/gloryhammer-copenhell-riddermetal-med-plastiksvaerd-og-borneshow-energi
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2964bfc787b4e152ce5574_webflow%252Fthumb-images%252F2026%252F06%252Fcopenhell-den-store-apropos-guide-thumb-2400w-sdx8nc.webp,587714,12,12,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/copenhell---den-store-apropos-guide
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2965034b9f36b6963a9850_webflow%252Fthumb-images%252F2026%252F06%252Fo-days-2026-guide-thumb-2400w-1izbee.webp,501692,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/o-days-2026-guide
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a296637a352d5f40132b16b_webflow%252Fthumb-images%252F2026%252F06%252Fwonderfestiwall-anmeldelse-bornholms-unikke-festivaloplevelse-thumb-2400w-msniqa.webp,699702,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/wonderfestiwall-anmeldelse-bornholms-unikke-festivaloplevelse
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2965a7a03da981f8ba6066_webflow%252Fthumb-images%252F2026%252F06%252Fav-av-av-poolen-refshaleoen-thumb-2400w-192pi9.webp,863304,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/av-av-av-poolen-refshaleoen
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a83556c3f3daa9e2d24a26a_webflow%252Fthumb-images%252F2026%252F08%252Fthe-cardigans-wonderfestiwall-anmeldelse-thumb-2400w-ccvno1.webp,567698,12,12,desktop_thumbnails;paralax-image-2,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29670babed7ed9d5d82b0e_webflow%252Fthumb-images%252F2026%252F06%252Fwormrot-copenhell-eternal-sunshine-of-the-singaporean-grind-thumb-2400w-2b26h1.webp,755172,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/wormrot-copenhell-eternal-sunshine-of-the-singaporean-grind
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29678791a314dfec6dabd8_webflow%252Fthumb-images%252F2026%252F06%252Fmagicbox-tinderbox-thumb-2400w-162u9c.webp,678452,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/magicbox-tinderbox
